zi	stroke_count	stroke_count_decomposed	mandarin_pinyin	cantonese_pinyin	english	radical	radical_stroke_count	radical_pinyin	radical_english	variant	fc_code	cj_code	leaf_component	zis_with_this_component
港	12画	水氵氺 + 9	gǎng, hòng	gong2	port, harbor; small stream; bay 	水/氵/氺	3	shuǐ	water		3411.7	ETCU	氵/廿/廾/巳	
渰	12画	水氵氺 + 9	yǎn, yān	jim1, jim2	(of cloud) forming or rising 	水/氵/氺	3	shuǐ	water		3814.6	EOMT	氵/人/一/口/廾	
渱	12画	水氵氺 + 9	hóng			水/氵/氺	3	shuǐ	water		3111.0	ELIM	氵/虫/工	
渲	12画	水氵氺 + 9	xuàn	hyun1, syun3	add repeated washes of color 	水/氵/氺	3	shuǐ	water		3311.6	EJMM	氵/宀/二/日	
渳	12画	水氵氺 + 9	mǐ, ěr	mai5		水/氵/氺	3	shuǐ	water		3114.0	ENSJ	氵/弓/耳	
渴	12画	水氵氺 + 9	kě, hé, jié, kài	hot3	thirsty, parched; yearn, pine 	水/氵/氺	3	shuǐ	water		3612.7	EAPV	氵/曰/勹/𠃊/人	
渵	11画	水氵氺 + 9	máo			水/氵/氺	3	shuǐ	water		3416.0	ETW	氵/艹/田	
渶	11画	水氵氺 + 9	yīng			水/氵/氺	3	shuǐ	water		3413.5	ETLK	氵/艹/冂/大	
渷	12画	水氵氺 + 9	yǎn			水/氵/氺	3	shuǐ	water			EYCU	氵/亠/八/口/儿	
游	12画	水氵氺 + 9	yóu, liú	jau4	to swim; float, drift; wander, roam 	水/氵/氺	3	shuǐ	water		3814.7	EYSD	氵/方/人/子	
渹	12画	水氵氺 + 9	hōng, qìng	gwang1	roar, crash 	水/氵/氺	3	shuǐ	water		3712.0	EPYR	氵/勹/言	
渺	12画	水氵氺 + 9	miǎo	miu5	endlessly long, boundless, vast 	水/氵/氺	3	shuǐ	water		3912.0	EBUH	氵/目/小/丿	
渻	12画	水氵氺 + 9	xǐng, shèng	saang2, sing2		水/氵/氺	3	shuǐ	water		3916.2	EFHU	氵/小/丿/目	
渼	12画	水氵氺 + 9	měi	mei5	ripples 	水/氵/氺	3	shuǐ	water		3813.5	ETGK	氵/羊/羊/大	
渽	12画	水氵氺 + 9	zāi	zoi1		水/氵/氺	3	shuǐ	water		3315.0	EJIR	氵/弋/丿/十/口	
渾	12画	水氵氺 + 9	hún, hùn, gǔn	wan4, wan6	muddy, turbid; blend, merge, mix 	水/氵/氺	3	shuǐ	water	浑	3715.6	EBJJ	氵/冖/車	
渿	12画	水氵氺 + 9	nài			水/氵/氺	3	shuǐ	water		3419.1	EDMF	氵/木/二/小	
湀	12画	水氵氺 + 9	kuí			水/氵/氺	3	shuǐ	water		3213.4	ENOK	氵/癶/一/大	
湁	12画	水氵氺 + 9	shí			水/氵/氺	3	shuǐ	water		3816.1	EQOR	氵/扌/人/一/口	
湂	12画	水氵氺 + 9	è			水/氵/氺	3	shuǐ	water			ERRS	氵/口/一/丂	
湃	12画	水氵氺 + 9	pài, bá	baai3, paai3	sound of waves; turbulent 	水/氵/氺	3	shuǐ	water		3115.0	EHQJ	氵/手/干干	
湄	12画	水氵氺 + 9	méi	mei4	water's edge, shore, bank 	水/氵/氺	3	shuǐ	water		3716.7	EAHU	氵/尸/丨/目	
湅	12画	水氵氺 + 9	liàn	lin6	boil silk 	水/氵/氺	3	shuǐ	water		3519.6	EDWF	氵/柬	
湆	12画	水氵氺 + 9	qì	jap1, nap6	(Cant.) sticky, not smooth, slow 	水/氵/氺	3	shuǐ	water		3016.1	EYTA	氵/立/日	
湇	12画	水氵氺 + 9	qì	jap1		水/氵/氺	3	shuǐ	water		3012.7	EYTB	氵/立/月	
湈	12画	水氵氺 + 9	méi			水/氵/氺	3	shuǐ	water			ETMD	氵/甘/木	
湉	12画	水氵氺 + 9	tián	tim4	gentle flow; tranquil 	水/氵/氺	3	shuǐ	water		3216.4	EPHR	氵/忄/丿/十/口	
湊	12画	水氵氺 + 9	còu	cau3	piece together, assemble 	水/氵/氺	3	shuǐ	water	凑	3513.4	EQKK	氵/𡗗/一/大	
湋	12画	水氵氺 + 9	wéi	wai4, wai5	river in Shanxi province 	水/氵/氺	3	shuǐ	water	𣲗	3415.6	EDMQ	氵/韋	
湌	12画	水氵氺 + 9	cān			水/氵/氺	3	shuǐ	water			EOIV	氵/人/丶/艮	
湍	12画	水氵氺 + 9	tuān, zhuān	teon1	rapid water current, rapids 	水/氵/氺	3	shuǐ	water		3212.7	EUMB	氵/山/而	
湎	12画	水氵氺 + 9	miǎn	min5	flushed with drink, drunk 	水/氵/氺	3	shuǐ	water		3116.0	EMWL	氵/面	
湏	12画	水氵氺 + 9	huì	mui6	wash face; erroneously borrowed for DKW 43352 'necessary, must' 	水/氵/氺	3	shuǐ	water			EMBC	氵/一/丿/目/八	
湐	12画	水氵氺 + 9	mò	paak3		水/氵/氺	3	shuǐ	water			EDHA	氵/木/日/丶	
湑	12画	水氵氺 + 9	xǔ, xū	seoi1, seoi2	to strain spirits; river in Guangxi; abundant; bright 	水/氵/氺	3	shuǐ	water		3712.7	ENOB	氵/疋/月	
湒	12画	水氵氺 + 9	jí			水/氵/氺	3	shuǐ	water		3614.1	ERSJ	氵/口/耳	
湓	12画	水氵氺 + 9	pén, pèn	pun4	an affluent of the River Yangtze near Kiukiang 	水/氵/氺	3	shuǐ	water		3811.7	ECST	氵/八/刀/皿	
湔	12画	水氵氺 + 9	jiān, jiàn, zàn, zhǎn	zin1	wash, cleanse; purge 	水/氵/氺	3	shuǐ	water		3812.1	ETBN	氵/止/月/刂	
湕	11画	水氵氺 + 9	jiǎn			水/氵/氺	3	shuǐ	water		3514.4	ENKQ	氵/廴/肀/二	
湖	12画	水氵氺 + 9	hú	wu4	a lake; Hubei, Hunan; bluish-green 	水/氵/氺	3	shuǐ	water		3712.0	EJRB	氵/十/口/月	
湗	12画	水氵氺 + 9	fèng	fung6		水/氵/氺	3	shuǐ	water			EGGI	氵/土/土/寸	
湘	12画	水氵氺 + 9	xiāng	soeng1	Hunan province 	水/氵/氺	3	shuǐ	water		3610.0	EDBU	氵/木/目	
湙	12画	水氵氺 + 9	yì	jik6		水/氵/氺	3	shuǐ	water			EYCK	氵/亦/大	
湚	12画	水氵氺 + 9	yìn			水/氵/氺	3	shuǐ	water		3211.0	ELVU	氵/幺?儿/月	
湛	12画	水氵氺 + 9	zhàn, chén, dān, jiān, tán, jìn	daam1, zaam3	deep; profound; clear; tranquil, placid 	水/氵/氺	3	shuǐ	water		3411.1	ETMV	氵/甘/匚/儿	霮
湜	12画	水氵氺 + 9	shí	sat6, zik6	transparent, clear 	水/氵/氺	3	shuǐ	water		3618.1	EAMO	氵/日/𤴓	
湝	12画	水氵氺 + 9	jiē	gaai1	flow 	水/氵/氺	3	shuǐ	water		3116.1	EPPA	氵/匕/匕/日/丶	
湞	12画	水氵氺 + 9	chéng, zhēn, chēng	zing1	river in Guangdong province 	水/氵/氺	3	shuǐ	water	浈	3118.6	EYBC	氵/卜/目/八	
湟	12画	水氵氺 + 9	huáng, kuàng	wong4	river in qinghai province 	水/氵/氺	3	shuǐ	water		3611.4	EHAG	氵/日/丶/王	
湠	12画	水氵氺 + 9	tàn			水/氵/氺	3	shuǐ	water		3218.9	EUMF	氵/山/厂/火	
湡	12画	水氵氺 + 9	yú	jyu4		水/氵/氺	3	shuǐ	water		3612.7	EWLB	氵/田/禸	蕅
湢	12画	水氵氺 + 9	bì	bik1	bathroom; neat; orderly 	水/氵/氺	3	shuǐ	water		3116.6	EMRW	氵/一/口/田	
湣	12画	水氵氺 + 9	mǐn, hūn	man5	mixed, confused; pity 	水/氵/氺	3	shuǐ	water		3716.4	ERPA	氵/民/日	
湤	12画	水氵氺 + 9	shī			水/氵/氺	3	shuǐ	water		3811.2	EYSD	氵/方/人/乜/丨	
湥	12画	水氵氺 + 9	tú			水/氵/氺	3	shuǐ	water		3314.3	EJCK	氵/宀/八/大/丶	
湦	12画	水氵氺 + 9	shēng			水/氵/氺	3	shuǐ	water		3611.4	EAHM	氵/日/牛/一	
湧	12画	水氵氺 + 9	yǒng	jung2	well up; gush forth; rise 	水/氵/氺	3	shuǐ	water		3712.7	ENBS	氵/龴/月/丨/力	
湨	12画	水氵氺 + 9	qù, jú	gwik1, gwik6		水/氵/氺	3	shuǐ	water		3613.4	EBUK	氵/目/大/丶	
湩	12画	水氵氺 + 9	zhòng, dòng	dung3, dung6	muddy, turbid; milk 	水/氵/氺	3	shuǐ	water		3211.4	EHJG	氵/丿/十/田/土	
湪	12画	水氵氺 + 9				水/氵/氺	3	shuǐ	water			EVNO	氵/彑/𧰨	
湫	12画	水氵氺 + 9	jiǎo, jiù, jiū, qiū, qiù	zau1, ziu2	a small pond; a damp and narrow place 	水/氵/氺	3	shuǐ	water		3918.0	EHDF	氵/丿/木/火	
湬	13画	水氵氺 + 9	jiǎo			水/氵/氺	3	shuǐ	water			HFE	丿/木/火/水	
湭	12画	水氵氺 + 9				水/氵/氺	3	shuǐ	water			ETCW	氵/丷/一/儿/口/一	
湮	12画	水氵氺 + 9	yīn, yān	jan1, jin1	bury, sink, block up; stain 	水/氵/氺	3	shuǐ	water		3111.4	EMWG	氵/覀/土	
湯	12画	水氵氺 + 9	tāng, tàng, shāng, yáng	soeng1, tong1	hot water; soup, gravy, broth 	水/氵/氺	3	shuǐ	water	汤	3612.7	EAMH	氵/日/一/勿	蕩,燙,盪,璗,簜,蘯,鐋
湰	12画	水氵氺 + 9	lóng			水/氵/氺	3	shuǐ	water			EHEM		
湱	12画	水氵氺 + 9	huò	waak6	sound of water 	水/氵/氺	3	shuǐ	water		3516.1	EQJR	氵/丰/石	
湲	12画	水氵氺 + 9	yuán	jyun4, wun4	flow 	水/氵/氺	3	shuǐ	water		3214.7	EBME	氵/爫/丿/丿/一/又	
湳	12画	水氵氺 + 9	nǎn			水/氵/氺	3	shuǐ	water		3412.7	EJBJ	氵/十冂/丷干	
湵	12画	水氵氺 + 9	yǒu			水/氵/氺	3	shuǐ	water			ETGO	氵/羊/久	
湶	12画	水氵氺 + 9	quán	cyun4		水/氵/氺	3	shuǐ	water		3613.2	EHAE	氵/日/丶/水	
湷	12画	水氵氺 + 9	chuí			水/氵/氺	3	shuǐ	water		3516.3	EQKA	氵/𡗗/日	
湸	12画	水氵氺 + 9	liàng			水/氵/氺	3	shuǐ	water		3011.2	EYRU	氵/亠口/儿	
湹	12画	水氵氺 + 9	chán			水/氵/氺	3	shuǐ	water		3111.4	EMWG	氵/厂/田/土	
湺	12画	水氵氺 + 9	yán			水/氵/氺	3	shuǐ	water			EORD	氵/亻/口/木	
湻	12画	水氵氺 + 9	chún, zhūn	seon4	pure, unmixed, genuine; honest 	水/氵/氺	3	shuǐ	water			EYRA	氵/亠口/日	
湼	12画	水氵氺 + 9	niè	nip6	black mud; slime 	水/氵/氺	3	shuǐ	water			EHXM		
湽	12画	水氵氺 + 9	zī			水/氵/氺	3	shuǐ	water			EVMW	氵/巛/田	
湾	12画	水氵氺 + 9	wān	waan1	bay, cove, inlet, bend of stream 	水/氵/氺	3	shuǐ	water	灣	3012.7	EYCN	氵/亦/弓	
湿	12画	水氵氺 + 9	shī, qì	sap1	wet, moist, humid, damp; illness 	水/氵/氺	3	shuǐ	water	濕	3611.2	EATC	氵/日/业	
満	12画	水氵氺 + 9	mǎn		fullness, enough; pride 	水/氵/氺	3	shuǐ	water		3412.7	XETUB		
溁	12画	水氵氺 + 9	yíng			水/氵/氺	3	shuǐ	water	濚		ETBD	氵/艹/木	
溂	12画	水氵氺 + 9				水/氵/氺	3	shuǐ	water		3210.0	EDLN	氵/木/口/刂	
溃	12画	水氵氺 + 9	kuì	kui2	flooding river; militarily defeat 	水/氵/氺	3	shuǐ	water	潰	3518	XELMO	氵/口/丨/一/冂/人	
溄	12画	水氵氺 + 9				水/氵/氺	3	shuǐ	water			EUHQ		
溅	12画	水氵氺 + 9	jiàn, jiān	zin1, zin3	sprinkle, spray; spill, splash 	水/氵/氺	3	shuǐ	water	濺	3315	EBOJ	氵/冂/人/一/弋/丿	
溆	12画	水氵氺 + 9	xù	zeoi6	river in Hunan 	水/氵/氺	3	shuǐ	water	漵	3714	EODE	氵/人/一/朩/又	
溇	12画	水氵氺 + 9	lǚ, lóu			水/氵/氺	3	shuǐ	water	漊		EFDV	氵/木/丷/女	
溈	12画	水氵氺 + 9	guī, wéi	gwai1	name of a river in Shanxi 	水/氵/氺	3	shuǐ	water	沩	3212.7	EIKF	氵/為	
溉	12画	水氵氺 + 9	gài, xiè	koi3	water, irrigate, flood; wash 	水/氵/氺	3	shuǐ	water		3111.4	EAIU	氵/艮/旡	
溊	12画	水氵氺 + 9				水/氵/氺	3	shuǐ	water			ERSE	氵/叚	
溋	12画	水氵氺 + 9	jing4			水/氵/氺	3	shuǐ	water			ENST	氵/乃/又/皿	
溌	12画	水氵氺 + 9	pō		pour, splash, water, sprinkle 	水/氵/氺	3	shuǐ	water		3214.7	ENOP	氵/発	
滋	12画	水氵氺 + 9	zī, cí	zi1	grow, multiply, increase; thrive 	水/氵/氺	3	shuǐ	water		3813.2	ETVI	氵/䒑/幺/幺	
滞	12画	水氵氺 + 9	zhì	zai6	block up, obstruct; stagnant 	水/氵/氺	3	shuǐ	water	滯	3412.7	ETJB	氵/川/一/冂/丨	
鿌	12画	水氵氺 + 9				水/氵/氺	3	shuǐ	water			EYAF		
溍	13画	水氵氺 + 10	jìn		water 	水/氵/氺	3	shuǐ	water		3116.1	EOOB	氵/?厸二/日	
溎	13画	水氵氺 + 10	guì	gwai3	river in Guangxi province 	水/氵/氺	3	shuǐ	water		3411.4	EHRB	氵/木/土/土	
溏	13画	水氵氺 + 10	táng	tong4	pool; not hardened, semi-soft 	水/氵/氺	3	shuǐ	water		3016.7	EILR	氵/广肀/口	
源	13画	水氵氺 + 10	yuán	jyun4	spring; source, head; surname 	水/氵/氺	3	shuǐ	water		3119.6	EMHF	氵/厂/日/丶/小	
溑	13画	水氵氺 + 10	suǒ			水/氵/氺	3	shuǐ	water			EFBC	氵/小/目/八	
溒	13画	水氵氺 + 10	yuán			水/氵/氺	3	shuǐ	water		3413.2	EHDP	氵/土/口/氏	
溓	13画	水氵氺 + 10	lián, nián, liǎn	lim4, lim5	sticky; thin rice 	水/氵/氺	3	shuǐ	water		3813.7	ETXC	氵/兼	
溔	13画	水氵氺 + 10	yǎo	jiu5		水/氵/氺	3	shuǐ	water		3813.1	ETGF	氵/羊/羊/灬	
溕	13画	水氵氺 + 10	mèng			水/氵/氺	3	shuǐ	water			EBMO	氵/冂/二/𧰨	
準	13画	水氵氺 + 10	zhǔn	zeon2	rule, guideline, standard 	水/氵/氺	3	shuǐ	water	准	3040.1	EGJ	氵/隹/十	
溗	13画	水氵氺 + 10	shéng			水/氵/氺	3	shuǐ	water		3219.1	FAHU	氵/丿/木/爿?/匕	
溘	13画	水氵氺 + 10	kè, kài	hap6	abruptly, suddenly, unexpectedly 	水/氵/氺	3	shuǐ	water		3411.7	EGIT	氵/土/厶/皿	
溙	13画	水氵氺 + 10	tài			水/氵/氺	3	shuǐ	water		3513.2	EOND	氵/𡗗/氺	
溚	12画	水氵氺 + 10	dá	dap6	(Cant.) to get wet by rain; to drip 	水/氵/氺	3	shuǐ	water			ETOR	氵/艹/人/一/口	
溛	13画	水氵氺 + 10	wā			水/氵/氺	3	shuǐ	water		3313.2	EJCO	氵/宀/八/瓜	
溜	13画	水氵氺 + 10	liū, liù, liú	lau1, lau4, lau6, liu1	slide, glide, slip; slippery 	水/氵/氺	3	shuǐ	water		3716.2	EHHW	氵/𠂎/卩/田	
溝	13画	水氵氺 + 10	gōu, gǎng, kòu	gau1, kau1	ditch, drain, narrow waterway 	水/氵/氺	3	shuǐ	water	沟	3514.7	ETTB	氵/井/一/冂/土	
溞	12画	水氵氺 + 10	sāo			水/氵/氺	3	shuǐ	water		3713.6	EEII	氵/又/丶/虫	
溟	13画	水氵氺 + 10	míng, mǐng, mì	ming4	drizzling rain; dark, obscure 	水/氵/氺	3	shuǐ	water		3718.0	EBAC	氵/冖/日/亠/八	
溠	12画	水氵氺 + 10	zhà, zhā	zaa3	river in Hubei province 	水/氵/氺	3	shuǐ	water		3811.2	ETQM	氵/羊/工	
溡	13画	水氵氺 + 10	shí			水/氵/氺	3	shuǐ	water	𪶄	3414.1	FFYR	氵/日/土/寸	
溢	13画	水氵氺 + 10	yì	jat6	overflow, brim over; full 	水/氵/氺	3	shuǐ	water		3811.7	ETCT	氵/?/皿	
溣	13画	水氵氺 + 10	lún			水/氵/氺	3	shuǐ	water		3812.7	ODF	氵/亻/人/一/𠕁	
溤	13画	水氵氺 + 10	mǎ			水/氵/氺	3	shuǐ	water	𰛊	3112.7	FBJJ	氵/馬	
溥	13画	水氵氺 + 10	pǔ, fū, bù, bó, pò	pou2	big, great, vast, wide; widespread 	水/氵/氺	3	shuǐ	water		3314.2	EIBI	氵/甫/寸	簿,薄,礴,鑮,欂
溦	13画	水氵氺 + 10	wéi	mei4	drizzle; (variant) valley; (variant) mold 	水/氵/氺	3	shuǐ	water		3814.0	EDGG	氵/山/几/攵	
溧	13画	水氵氺 + 10	lì	leot6	river in Anhui and Jiangsu provinces 	水/氵/氺	3	shuǐ	water		3119.4	EMWD	氵/覀/木	
溨	13画	水氵氺 + 10	cái			水/氵/氺	3	shuǐ	water			EJID	氵/弋/丿/十/木	
溩	13画	水氵氺 + 10	wù			水/氵/氺	3	shuǐ	water			EHRF	氵/烏	
溪	13画	水氵氺 + 10	xī, qī	kai1	mountain stream, creek 	水/氵/氺	3	shuǐ	water		3213.4	EBVK	氵/爪/幺/大	鸂
