zi	stroke_count	stroke_count_decomposed	mandarin_pinyin	cantonese_pinyin	english	radical	radical_stroke_count	radical_pinyin	radical_english	variant	fc_code	cj_code	leaf_component	zis_with_this_component
蓀	13画	艸艹 + 10	sūn	syun1	aromatic grass; iris, flower 	艸/艹	3	cǎo	grass	荪	4449.3	TNDF	艹/子/丿/幺/小	
蓁	13画	艸艹 + 10	zhēn, qín	zeon1	abundant, luxuriant vegetation 	艸/艹	3	cǎo	grass		4490.4	TQKD	艹/𡗗/丿/木	
蓂	13画	艸艹 + 10	míng	ming4	lucky place 	艸/艹	3	cǎo	grass		4480.0	TBAC	艹/冖/日/亠/八	
蓃	12画	艸艹 + 10	huò			艸/艹	3	cǎo	grass			THXE	艹/臼/丨/又	
蓄	13画	艸艹 + 10	xù	cuk1	store, save, hoard, gather 	艸/艹	3	cǎo	grass		4460.3	TYVW	艹/亠/幺/田	
蓅	13画	艸艹 + 10	liú			艸/艹	3	cǎo	grass		4411.3	TEYU	艹/氵/亠/厶/川	
蓆	13画	艸艹 + 10	xí	zek6, zik6	straw mat, mat 	艸/艹	3	cǎo	grass		4422.7	TITB	艹/广/艹/冂/丨	
蓇	12画	艸艹 + 10	gǔ, gū	gwat1	follicles of plants 	艸/艹	3	cǎo	grass		4422.7	TBBB	艹/冎/月	
蓈	11画	艸艹 + 10	láng			艸/艹	3	cǎo	grass			TIIL	艹/丶/艮/阝	
蓉	13画	艸艹 + 10	róng	jung4	hibiscus; Chengdu, Sichuan 	艸/艹	3	cǎo	grass		4460.8	TJCR	艹/宀/八/八/口	
蓊	13画	艸艹 + 10	wěng, wèng	jung2	luxuriant vegetation; lush 	艸/艹	3	cǎo	grass		4422.7	TCIM	艹/八/厶/习/习	
蓋	13画	艸艹 + 10	gài, gě, hé	gap3, goi3, hap6, koi3	cover, hide, protect 	艸/艹	3	cǎo	grass	盖	4410.7	TGIT	艹/土/厶/皿	濭,瓂,壒,礚,饚,鑉
蓌	13画	艸艹 + 10	cuò	co3, co5	pretend; crouch 	艸/艹	3	cǎo	grass		4440.7	TOOE	艹/人/土/夂	
蓍	13画	艸艹 + 10	shī	si1	milfoil, plant used in divination 	艸/艹	3	cǎo	grass		4460.1	TJPA	艹/土/丿/匕/日	
蓎	13画	艸艹 + 10	táng			艸/艹	3	cǎo	grass		4426.7	TILR	艹/广肀/口	
蓏	13画	艸艹 + 10	luǒ	lo2	fruit of plant; melon 	艸/艹	3	cǎo	grass		4421.2	THOO	艹/瓜/瓜	
蓐	13画	艸艹 + 10	rù	juk6	straw bed mat; rushes 	艸/艹	3	cǎo	grass		4424.3	TMVI	艹/辰/寸	
蓑	13画	艸艹 + 10	suō, sāi, suī	so1	rain coat made of straw, coir, etc. 	艸/艹	3	cǎo	grass		4473.2	TYWV	艹/衣/丑	
蓒	13画	艸艹 + 10	xiān			艸/艹	3	cǎo	grass		4454.1	TJJJ	艹/車/一/十	
蓓	13画	艸艹 + 10	bèi	bui3, pui4, pui5	bud 	艸/艹	3	cǎo	grass		4426.1	TOYR	艹/亻/立/口	
蓔	13画	艸艹 + 10	yǎo			艸/艹	3	cǎo	grass		4430.1	TTGF	艹/羊/羊/灬	
蓕	13画	艸艹 + 10	guì			艸/艹	3	cǎo	grass			TDGG	艹/木/土/土	
蓖	13画	艸艹 + 10	bì, bī	bei6	castor-oil plant, Ricinus communis 	艸/艹	3	cǎo	grass		4471.1	THWP	艹/丶囗/乄/匕/匕	
蓗	13画	艸艹 + 10	zǒng	si1	a plant; five-fold 	艸/艹	3	cǎo	grass		4428.1	THOO	艹/彳/土/龰	
蓘	13画	艸艹 + 10	gǔn			艸/艹	3	cǎo	grass			XTYCV	艹/衣/八/厶	
蓙	13画	艸艹 + 10			a mat, matting 	艸/艹	3	cǎo	grass		4421.4	TIOG	艹/广/人/土	
蓚	12画	艸艹 + 10	xiū	tiu4	oxalic (used in compounds) 	艸/艹	3	cǎo	grass		4422.2	TOLH	艹/亻丨/攵/彡	
蓛	13画	艸艹 + 10	cè			艸/艹	3	cǎo	grass		4494.8	TDBK	艹/木/冂/攵	
蓜	13画	艸艹 + 10				艸/艹	3	cǎo	grass			TMWU	艹/一/儿/口/一/己	
蓝	13画	艸艹 + 10	lán, la	laam4	blue; indigo plant; surname 	艸/艹	3	cǎo	grass	藍	4410	TLIT	艹/皿	
蓞	16画	艸艹 + 10	daam6			艸/艹	3	cǎo	grass			TBHX	艹/爫/臼	
蓟	13画	艸艹 + 10	jì	gai3	circium, thistles; surname 	艸/艹	3	cǎo	grass	薊	4412	TNMN		
蓠	13画	艸艹 + 10	lí	lei4	gracilaria verrucosa 	艸/艹	3	cǎo	grass	蘺	4422	TYUB	艹/亠/凵/乂/禸	
蓡	13画	艸艹 + 10	cān, shēn	sam1		艸/艹	3	cǎo	grass			TESE	艹/氵/彐/又	
蓢	13画	艸艹 + 10	láng	long1	(Cant.) brake, fern 	艸/艹	3	cǎo	grass			TIIB	艹/丶/艮/月	
蓣	13画	艸艹 + 10	yù	jyu6	yam 	艸/艹	3	cǎo	grass	蕷	4428	TNNO	艹/龴/一/亅/一/丿/冂/人	
蓤	13画	艸艹 + 10	ling4			艸/艹	3	cǎo	grass			TIME	艹/冫/土/儿/夂	
蓦	13画	艸艹 + 10	mò	mak6	suddenly, quickly, abruptly 	艸/艹	3	cǎo	grass	驀	4412	TAKM	艹/日/大/马	
蓥	13画	艸艹 + 11	yìng, yíng	jing4	polish 	艸/艹	3	cǎo	grass	鎣	4410	TBC	艹/金	
蓧	13画	艸艹 + 11	diào, tiāo, tiáo	diu6, tiu4	bamboo basket; weeder; rake 	艸/艹	3	cǎo	grass		4429.4	TOLD	艹/亻丨/攵/木	
蓨	13画	艸艹 + 11	tiāo, tiáo	sau1, tiu1, tiu4		艸/艹	3	cǎo	grass		4422.7	TOLB	艹/亻丨/攵/月	
蓩	13画	艸艹 + 11	mào			艸/艹	3	cǎo	grass		4422.4	TNHS	艹/矛/夂/力	
蓪	13画	艸艹 + 11	tōng	tung1	paper-plant; Aralia papyrifera 	艸/艹	3	cǎo	grass		4430.2	TYNB	艹/辶/龴/月/丨	
蓫	13画	艸艹 + 11	zhú	zuk6	dock 	艸/艹	3	cǎo	grass		4430.3	TYMO	艹/辶/豕	
蓬	13画	艸艹 + 11	péng, pèng	fung4, pung4	type of raspberry; fairyland 	艸/艹	3	cǎo	grass		4430.4	TYHJ	艹/辶/夂/丰	鑝,纄
蓭	14画	艸艹 + 11	ān			艸/艹	3	cǎo	grass			TIKU	艹/广/大/曰/乚	
蓮	13画	艸艹 + 11	lián, liǎn	lin4	lotus, water lily; paradise 	艸/艹	3	cǎo	grass	莲	4430.4	TYJJ	艹/辶/車	
蓯	14画	艸艹 + 11	cōng	cung1	medicinal herb 	艸/艹	3	cǎo	grass	苁	4428.1	THOO	艹/彳/从止	
蓰	14画	艸艹 + 11	xǐ	saai2	to increase five-fold 	艸/艹	3	cǎo	grass		4428.1	THOO	艹/彳/止/止	
蓱	12画	艸艹 + 11	píng			艸/艹	3	cǎo	grass		4434.1	TETT	艹/氵/丷/一/廾	
蓲	14画	艸艹 + 11	qiū, xū	hau1, jau1		艸/艹	3	cǎo	grass	𰰤	4471.6	TSRR	艹/匚/口品→/口/品→	櫙
蓳	14画	艸艹 + 11	jìn	gan2		艸/艹	3	cǎo	grass		4410.4	TTLM	艹/堇	
蓴	14画	艸艹 + 11	chún	seon4	edible water plant, bracenia 	艸/艹	3	cǎo	grass	莼	4434.3	TJII	艹/𤰔/厶/寸	
蓵	14画	艸艹 + 11	jié			艸/艹	3	cǎo	grass			TQJO	艹/扌/疌	
蓶	14画	艸艹 + 11	wěi			艸/艹	3	cǎo	grass		4461.4	TROG	艹/口/隹	
蓷	14画	艸艹 + 11	tuī	teoi1	motherwort, various plants of the genus Leonurus, such as L. sibiricus and L. artemesia 	艸/艹	3	cǎo	grass		4451.4	TQOG	艹/扌/隹	
蓸	14画	艸艹 + 11	cáo	cou4		艸/艹	3	cǎo	grass			TTWA	艹/一曲/曰	
蓹	15画	艸艹 + 11	yǔ			艸/艹	3	cǎo	grass		4422.7	THOL	艹/彳/𦈢/卩	
蓺	14画	艸艹 + 11	yì	ngai6	art; talent, ability; craft 	艸/艹	3	cǎo	grass		4411.7	TGGI	艹/土/儿/土/九/丶	藝,囈,讛,襼
蓻	14画	艸艹 + 11	jí	zap1	(Cant.) classifier for hair 	艸/艹	3	cǎo	grass		4441.0	TGJI	艹/土/𢆉/九/丶	
蓼	14画	艸艹 + 11	liǎo, lù, lǎo, liǔ	liu5, luk6	smartweed, polygonum 	艸/艹	3	cǎo	grass		4420.2	TSMH	艹/习/习/人/彡	
蓽	13画	艸艹 + 11	bì	bat1	species of bean; piper longtum 	艸/艹	3	cǎo	grass	荜	4450.4	TWTJ	艹/畢	
蓾	14画	艸艹 + 11	lǔ	lou5		艸/艹	3	cǎo	grass		4460.1	TYWI	艹/鹵	
蓿	14画	艸艹 + 11	sù, xù	suk1	clover, lucerne 	艸/艹	3	cǎo	grass		4426.1	TJOA	艹/宀/亻/一/日/丶	
蔀	13画	艸艹 + 11	bù, pǒu	bou6	screen 	艸/艹	3	cǎo	grass		4462.7	TYRL	艹/立/口/阝	
蔁	14画	艸艹 + 11	zhāng			艸/艹	3	cǎo	grass			XTYTJ	艹/立/日/十	
蔂	14画	艸艹 + 11	luó	leoi4, lo4	basket, hod 	艸/艹	3	cǎo	grass	虆	4490.3	TWVF	艹/田/幺/小	
蔃	15画	艸艹 + 11	jiàng	goeng2, koeng2, koeng5	(Cant.) roots of plants 	艸/艹	3	cǎo	grass			TNII	艹/弓/口/虫	
蔄	14画	艸艹 + 11	màn	maan6		艸/艹	3	cǎo	grass	𬜬		TANR	艹/門/口	
蔅	14画	艸艹 + 11	yán	jin4		艸/艹	3	cǎo	grass			TANV	艹/門/女	
蔆	14画	艸艹 + 11	líng	ling4	water-chestnut, water caltrop 	艸/艹	3	cǎo	grass		4414.7	TEGE	艹/氵/土/儿/夂	
蔇	12画	艸艹 + 11	jì, xì	gei3	luxuriant growth; extreme; to reach 	艸/艹	3	cǎo	grass		4471.4	TAIU	艹/艮/旡	
蔈	14画	艸艹 + 11	piǎo, biāo	biu1		艸/艹	3	cǎo	grass		4490.1	TMWF	艹/覀/二/小	
蔉	14画	艸艹 + 11	gǔn	gwan2	earth up 	艸/艹	3	cǎo	grass		4473.2	TYCV	艹/衣/八口	
蔊	14画	艸艹 + 11	hǎn, hàn	hon5, hon6		艸/艹	3	cǎo	grass		4494.1	TFAJ	艹/火/日/一/十	
蔋	14画	艸艹 + 11	dí			艸/艹	3	cǎo	grass		4434.7	TEYE	艹/氵/上/小/又	
蔌	14画	艸艹 + 11	sù	cuk1	vegetables 	艸/艹	3	cǎo	grass		4498.2	TDLO	艹/木/口/欠	
蔍	14画	艸艹 + 11	lù			艸/艹	3	cǎo	grass		4421.1	TIXP	艹/鹿	
蔎	14画	艸艹 + 11	shè	cit3		艸/艹	3	cǎo	grass	𰰺	4464.7	TYRE	艹/言/几/又	
蔏	14画	艸艹 + 11	shāng	soeng1		艸/艹	3	cǎo	grass		4422.7	TYCB	艹/亠/八/冂/八/口	
蔐	14画	艸艹 + 11	dí	dik6		艸/艹	3	cǎo	grass			TYCB	艹/亠/八/冂古	
蔑	14画	艸艹 + 11	miè	mit6	disdain, disregard; slight 	艸/艹	3	cǎo	grass		4425.3	TWLI	艹/丿/弋/丿/一/目	襪,衊,蠛,韈,櫗,礣,瀎,懱,幭,鱴,韤,鑖
蔒	14画	艸艹 + 11	xūn			艸/艹	3	cǎo	grass		4433.6	TSRF	艹/彐/丿/口/灬	
蔓	14画	艸艹 + 11	màn, wàn, mán	maan4, maan6	creeping plants, tendrils, vines 	艸/艹	3	cǎo	grass		4440.7	TAWE	艹/曰/罒又	
蔔	14画	艸艹 + 11	bo, bó	baak6	radish; other root vegetables 	艸/艹	3	cǎo	grass		4462.7	TPMW	艹/勹/一/口/田	
蔕	14画	艸艹 + 11	dì	daai3, dai3, dai6	peduncle or stem of plants 	艸/艹	3	cǎo	grass		4422.7	TKPB	艹/卌/冂/丨	
蔖	14画	艸艹 + 11	cuó			艸/艹	3	cǎo	grass		4421.7	TYPM	艹/虍/且	
蔗	14画	艸艹 + 11	zhè	ze3	sugar cane 	艸/艹	3	cǎo	grass		4423.1	TITF	艹/广/廿/火	
蔘	14画	艸艹 + 11	sēn, sān, shēn		ginseng; huge 	艸/艹	3	cǎo	grass		4420.2	TIIH	艹/厶厽→/厶/厽→/人/彡	
蔙	14画	艸艹 + 11	xuàn			艸/艹	3	cǎo	grass		4428.1	TYSO	艹/方/人/疋	
蔚	14画	艸艹 + 11	wèi, yù	wai3, wat1, wat3	luxuriant, thick; ornamental 	艸/艹	3	cǎo	grass		4424.0	TSFI	艹/尸示/寸	
蔛	14画	艸艹 + 11	hú		a small orchid-like plant it bears white flowers a dendrobium 	艸/艹	3	cǎo	grass			TNBJ	艹/⺈/月/丨/斗	
蔜	13画	艸艹 + 11	áo			艸/艹	3	cǎo	grass		4424.8	TGSK	艹/土方/攵	
蔝	14画	艸艹 + 11	mǐ			艸/艹	3	cǎo	grass		4469.4	TBUD	艹/目/木/丷	
蔞	14画	艸艹 + 11	lóu, liǔ, jù, lǚ	lau4	Artemisia stelleriana 	艸/艹	3	cǎo	grass	蒌	4440.4	TLWV	艹/女	
蔟	14画	艸艹 + 11	cù, còu, chuò	cuk1, cuk6	frame on which silkworms spin 	艸/艹	3	cǎo	grass		4423.4	TYSK	艹/方/人/丿/一/大	
蔠	14画	艸艹 + 11	zhōng	zung1		艸/艹	3	cǎo	grass	𰱛	4493.3	TVFY	艹/幺/小/夂/冫	
蔡	14画	艸艹 + 11	cài, sà, cā	coi3	surname; species of tortoise 	艸/艹	3	cǎo	grass		4490.1	TBOF	艹/月又/二/小	櫒,礤,攃
蔢	14画	艸艹 + 11	pó			艸/艹	3	cǎo	grass			TEEV	艹/氵/皮/女	
蔣	14画	艸艹 + 11	jiǎng, jiāng	zoeng2	surname; Hydropyrum latifolium 	艸/艹	3	cǎo	grass	蒋	4424.2	TVMI	艹/爿/月寸	
蔤	14画	艸艹 + 11	mì	mat6		艸/艹	3	cǎo	grass		4477.3	TJPU	艹/宀/心/丿/山	
蔥	14画	艸艹 + 11	cōng	cung1	scallions, onions, leeks 	艸/艹	3	cǎo	grass	葱	4433.2	THWP	艹/丶囗/夕/心	
蔦	14画	艸艹 + 11	niǎo	niu5	the convolvulus; parasitic plants such as mistletoe; Ribes ambiguum 	艸/艹	3	cǎo	grass	茑	4432.7	THAF	艹/鳥	
蔧	14画	艸艹 + 11	huì, suì	seoi6, wai6		艸/艹	3	cǎo	grass		4417.1	TQJM	艹/丰/彐	
蔨	14画	艸艹 + 11	jùn			艸/艹	3	cǎo	grass		4460.0	TWFU	艹/囗/龹/卩	
蔩	14画	艸艹 + 11	yín			艸/艹	3	cǎo	grass		4480.6	TJMC	艹/宀/一由八	
蔪	14画	艸艹 + 11	jiàn	saam1		艸/艹	3	cǎo	grass	𰱑	4452.1	TJJL	艹/車/斤	
蔫	14画	艸艹 + 11	yān, niān, yàn	jin1	withered, faded, decayed; calm 	艸/艹	3	cǎo	grass		4432.7	TMYF	艹/一/止/卜/乙/灬	
蔬	15画	艸艹 + 11	shū, xū, shǔ	so1	vegetables, greens 	艸/艹	3	cǎo	grass		4411.3	TNMU	艹/疋/亠/厶/川	
蔭	13画	艸艹 + 11	yìn, yīn	jam3	shade, shelter; protect 	艸/艹	3	cǎo	grass	荫	4423.1	TNLI	艹/阝/人/一/㇇/二/厶	
蔮	14画	艸艹 + 11	kuì			艸/艹	3	cǎo	grass	𬜿	4460.0	TWIM	艹/囗/弋/丿/一口	
蔯	13画	艸艹 + 11	chén	can4	a variety of artemisia 	艸/艹	3	cǎo	grass	𫈟	4429.6	TNLW	艹/阝/木/日	
蔰	14画	艸艹 + 11	hù			艸/艹	3	cǎo	grass		4421.7	THSU	艹/一/尸/口/巴	
蔱	13画	艸艹 + 11	shā	saat3		艸/艹	3	cǎo	grass	𰰵	4494.7	TKCE	艹/乂/朩/几/又	
蔲	14画	艸艹 + 11	kòu	kau3	nutmeg 	艸/艹	3	cǎo	grass			TJMK	艹/宀/元女	
蔳	14画	艸艹 + 11	qiàn	sin6		艸/艹	3	cǎo	grass			TEQB	艹/氵/龶/月	
蔴	14画	艸艹 + 11	má	maa4	hemp; sesame; applied to other plants furnishing textile fibres 	艸/艹	3	cǎo	grass			TIDD	艹/广/木/木	
蔵	14画	艸艹 + 11	zāng, cáng	cong4, zong6	hide, conceal; hoard, store up 	艸/艹	3	cǎo	grass		4425.3	XTIHS	艹/丿/弋/丿/臣	臓
蔶	14画	艸艹 + 11				艸/艹	3	cǎo	grass			TQMC	艹/龶/目/八	
蔷	14画	艸艹 + 11	qiáng, sè	coeng4	rose 	艸/艹	3	cǎo	grass	薔	4460	TGCW	艹/亠?/囗/口	
蔸	14画	艸艹 + 11	dōu	dau1	counter for plant 	艸/艹	3	cǎo	grass		4421	THVU	艹/?/儿	
蔹	14画	艸艹 + 11	liàn, lián	lim4	wild vine, vitis pentaphylla 	艸/艹	3	cǎo	grass	蘞	4414	TOMK	艹/人/一/小一/攵	
蔺	14画	艸艹 + 11	lìn	leon6	rush used for making mats; surname 	艸/艹	3	cǎo	grass	藺	4422	TLSG	艹/門/隹	躏
蔻	14画	艸艹 + 11	kòu	kau3	肉豆蔻 nutmeg, 豆蔻 cardamon 	艸/艹	3	cǎo	grass		4421.4	TJME	艹/宀/元攴	
蔼	14画	艸艹 + 11	ǎi	oi2	lush; affable, friendly 	艸/艹	3	cǎo	grass	藹	4472	TIVV	艹/讠/曰/勹/𠃊/人	
蔽	14画	艸艹 + 12	bì, fù	bai3	cover, hide, conceal; shelter 	艸/艹	3	cǎo	grass		4424.8	TFBK	艹/㡀/攵	虌
蔾	15画	艸艹 + 12	lí	lai4	kind of bramble 	艸/艹	3	cǎo	grass		4490.4	THHD	艹/𥝢/木	
蔿	15画	艸艹 + 12	wéi		surname; place name 	艸/艹	3	cǎo	grass			TBHF	艹/爲	
蕀	15画	艸艹 + 12	jí			艸/艹	3	cǎo	grass		4499.2	TDBB	艹/木/冂/朿	
蕁	15画	艸艹 + 12	xún, qián, tán	cam4	nettle 	艸/艹	3	cǎo	grass	荨	4434.6	TSMI	艹/彐工口/寸	
蕂	15画	艸艹 + 12	shèng	sing3	sesame 	艸/艹	3	cǎo	grass			TBFS	艹/月/龹/力	
蕃	15画	艸艹 + 12	fán, fān, bó, pí, bō	faan4	foreign things 	艸/艹	3	cǎo	grass		4460.9	THDW	艹/丿/木/丷/田	
蕄	15画	艸艹 + 12	méng			艸/艹	3	cǎo	grass	𰱉	4422.7	TANP	艹/門/心	
蕅	15画	艸艹 + 12	ǒu	ngau5		艸/艹	3	cǎo	grass		5532.7	TEWB	艹/氵/田/禸	
蕆	15画	艸艹 + 12	chǎn	cin2, zin2	finish, complete; solve; complete 	艸/艹	3	cǎo	grass	蒇	4425.0	TIHC		
蕇	15画	艸艹 + 12	diǎn	din2		艸/艹	3	cǎo	grass		4440.6	TRRJ	艹/口/甲一	鄿
蕈	15画	艸艹 + 12	xùn, tán	cam5	mushrooms, fungus; mildew, mold 	艸/艹	3	cǎo	grass		4440.6	TMWJ	艹/襾/日/十	
蕉	15画	艸艹 + 12	jiāo, qiáo, qiāo	ziu1	banana; plantain 	艸/艹	3	cǎo	grass		4433.1	TOGF	艹/隹/灬	爑,櫵
蕊	15画	艸艹 + 12	ruǐ, juǎn	jeoi5, jeoi6	unopened flowers, flower buds 	艸/艹	3	cǎo	grass		4433.3	TPPP	艹/心惢→/心/惢→	
蕋	15画	艸艹 + 12	ruǐ	jeoi5, jeoi6	unopened flowers, flower buds 	艸/艹	3	cǎo	grass		4411.1	TYMM	艹/止歮→/止/歮→	蘃
蕌	15画	艸艹 + 12	lěi	leoi5		艸/艹	3	cǎo	grass			TAAA	艹/日晶→/日/晶→	
蕍	15画	艸艹 + 12	yú	jyu4		艸/艹	3	cǎo	grass		4412.1	TEON	艹/氵/人/一/舟巜	
蕎	15画	艸艹 + 12	qiáo, jiāo	kiu4	buckwheat 	艸/艹	3	cǎo	grass	荞	4422.7	THKB	艹/丿/大/口/冂/囗	
蕏	14画	艸艹 + 12	chú, zhū, zhā			艸/艹	3	cǎo	grass			TKHA	艹/犭/土/丿/日	
蕐	15画	艸艹 + 12	huá		splendor, glory; China 	艸/艹	3	cǎo	grass			TMOQ		
蕑	15画	艸艹 + 12	jiān	gaan1	valeriana villosa, climbing plant 	艸/艹	3	cǎo	grass	𰱇	4422.7	TANB	艹/門/月	
蕒	15画	艸艹 + 12	mǎi	maai5	a plant name 	艸/艹	3	cǎo	grass	荬		TWLC	艹/罒/目/八	
蕓	15画	艸艹 + 12	yún	wan4	rue, an herb used keep insects away 	艸/艹	3	cǎo	grass	芸	4413.1	TMBI	艹/雨/二/厶	
蕔	15画	艸艹 + 12	bāo			艸/艹	3	cǎo	grass		4444.7	TGJE	艹/土/𢆉/卩/又	
蕕	15画	艸艹 + 12	yóu	jau4	caryopteris divaricata 	艸/艹	3	cǎo	grass	莸	4426.1	TKHW	艹/犭/丷/一/儿/口/一	
蕖	14画	艸艹 + 12	qú	keoi4	lotus, water-lily 	艸/艹	3	cǎo	grass		4490.4	TESD	艹/氵/巨/木	
蕗	16画	艸艹 + 12	lù	lou6	leucacene 	艸/艹	3	cǎo	grass		4416.4	TRMR	艹/口/龰/夂/口	
蕘	15画	艸艹 + 12	ráo, yáo	jiu4	fuel, firewood; stubble 	艸/艹	3	cǎo	grass	荛	4421.1	TGGU	艹/土垚→/土/垚→/一/儿	
蕙	15画	艸艹 + 12	huì	wai6	species of fragrant orchid 	艸/艹	3	cǎo	grass		4433.3	TJIP	艹/𤰔/厶/心	
蕚	15画	艸艹 + 12	è	ngok6, ok6	the calyx of a flower; younger brother 	艸/艹	3	cǎo	grass		4420.7	TRRS		
蕛	15画	艸艹 + 12	téng, tí	tai4		艸/艹	3	cǎo	grass		4492.7	THDH	艹/丿/木/丷/弓/丨/丿	
蕜	15画	艸艹 + 12	fěi			艸/艹	3	cǎo	grass			TLYP	艹/非/心	
蕝	15画	艸艹 + 12	jué, zuì	zyut3	handful 	艸/艹	3	cǎo	grass	𫈵	4491.7	TVFU	艹/幺/小/力巴	
蕞	15画	艸艹 + 12	zuì, jué, zhuó	zeoi3	little, small, tiny; petty 	艸/艹	3	cǎo	grass		4414.7	TASE	艹/曰/耳/又	
蕟	15画	艸艹 + 12	fà, fèi	faat3		艸/艹	3	cǎo	grass	𬜧		TNOE	艹/癶/弓殳	
蕠	15画	艸艹 + 12	rú	jyu4, jyu6		艸/艹	3	cǎo	grass		4490.3	TVRF	艹/女/口/幺/小	
蕡	15画	艸艹 + 12	fén	fan4, fan5	hemp seeds; plant with abundant 	艸/艹	3	cǎo	grass	𰱟	4480.6	TJTC	艹/十/廾/目/八	
蕢	15画	艸艹 + 12	kuì, kuài	gwai6	edible amaranth; straw basket 	艸/艹	3	cǎo	grass	蒉	4480.6	TLMC	艹/口/丨/一/目/八	
蕣	15画	艸艹 + 12	shùn	seon3	hibiscus 	艸/艹	3	cǎo	grass		4425.2	TBBQ	艹/爫/夕/丨/二	
蕤	15画	艸艹 + 12	ruí	jeoi4	drooping leaves; fringe soft, delicate 	艸/艹	3	cǎo	grass		4423.1	TMOM	艹/豕/牛/一	
蕥	15画	艸艹 + 12	yǎ			艸/艹	3	cǎo	grass		4421.4	TMHG	艹/牙/隹	
蕦	15画	艸艹 + 12	xū			艸/艹	3	cǎo	grass		4428.6	THHC	艹/彡/一/丿/目/八	
蕧	15画	艸艹 + 12	fù	fuk6		艸/艹	3	cǎo	grass	𰱦	4424.7	THOE	艹/彳/丿/一	
蕨	15画	艸艹 + 12	jué	kyut3	pteris aquilina, common bracken 	艸/艹	3	cǎo	grass		4428.2	TMTO	艹/厂/䒑/屮/欠	
蕩	15画	艸艹 + 12	dàng, tāng, tàng	dong6	pond, pool; wash away, cleanse 	艸/艹	3	cǎo	grass	荡	4412.7	TEAH	艹/氵/日/一/勿	
蕪	15画	艸艹 + 12	wú, wǔ	mou4	luxurious growth of weeds 	艸/艹	3	cǎo	grass	芜	4433.1	TOTF	艹/無	
蕫	15画	艸艹 + 12	tóng, dǒng	dung2		艸/艹	3	cǎo	grass		5510.4	TYTG	艹/立/田/土	
蕬	15画	艸艹 + 12	sī			艸/艹	3	cǎo	grass		4499.3	TVFF	艹/幺/小/糹	
蕭	16画	艸艹 + 12	xiāo	siu1	common artemisia; sighing of wind; mournful; dejected 	艸/艹	3	cǎo	grass	萧	4422.7	TLX	艹/肀/𣶒	瀟,櫹,蠨
蕮	15画	艸艹 + 12	xì	sik1		艸/艹	3	cǎo	grass		4432.7	THXF	艹/臼/勹/火	
蕯	14画	艸艹 + 12	lóng	saat3		艸/艹	3	cǎo	grass			TNLM	艹/阝/夂生	
蕰	15画	艸艹 + 12	yùn, wēn	wan1	the hippuris or mare's tail plant 	艸/艹	3	cǎo	grass	薀		TEAT	艹/氵/日/皿	
蕱	15画	艸艹 + 12				艸/艹	3	cǎo	grass		2992.0	THDB	艹/丿/木/小/月	
蕲	15画	艸艹 + 12	qí	kei4	variety of artemisia seek 	艸/艹	3	cǎo	grass	蘄	4452	TCJL		
蕳	15画	艸艹 + 12	jiān	gaan1	agueweed 	艸/艹	3	cǎo	grass	𫈉		TANA	艹/門/日	
蕴	15画	艸艹 + 12	yùn	wan3	to collect, gather, store; profound 	艸/艹	3	cǎo	grass	蘊	4411	TVMT	艹/纟/日/皿	
蕵	15画	艸艹 + 12	sūn			艸/艹	3	cǎo	grass		4423.2	TNIV	艹/夕/人/丶/艮	
蕶	16画	艸艹 + 13	líng			艸/艹	3	cǎo	grass		4430.7	TMBI	艹/雨/人/一/龴	
蕷	16画	艸艹 + 13	yù	jyu6	yam 	艸/艹	3	cǎo	grass	蓣	4428.6	TNNC	艹/龴/一/亅/一/丿/目/八	
蕸	15画	艸艹 + 13	xiá	haa4	water lily's leaf 	艸/艹	3	cǎo	grass		4430.4	TYRE	艹/辶/叚	
蕹	16画	艸艹 + 13	yōng, wèng	jung1, ngung3, ung3	Ipomoea aquatica used as a vegetable 	艸/艹	3	cǎo	grass		4421.4	TYVG	艹/亠	
蕺	15画	艸艹 + 13	jí, qiè	cap1		艸/艹	3	cǎo	grass		4415.3	TRJI	艹/口/耳/弋/丿	
蕻	16画	艸艹 + 13	hòng, hóng	hung4, hung6		艸/艹	3	cǎo	grass		4478.1	TSIC		
蕼	16画	艸艹 + 13	sì	sei3		艸/艹	3	cǎo	grass		4475.7	TSIQ	艹/镸/肀/二	
蕽	16画	艸艹 + 13	nóng			艸/艹	3	cǎo	grass	𫇽		TTWV	艹/曲/辰	
蕾	16画	艸艹 + 13	lěi	leoi4, leoi5	buds, unopened flowers 	艸/艹	3	cǎo	grass		4460.3	TMBW	艹/雨/田	
蕿	16画	艸艹 + 13	xuān			艸/艹	3	cǎo	grass			TFBE	艹/火/爫/丿/丿/一/又	
薀	16画	艸艹 + 13	yùn	wan1	the hippuris or mare's tail plant 	艸/艹	3	cǎo	grass	蕰	4411.7	TEWT	艹/氵/囗/人/皿	
薁	15画	艸艹 + 13	yù	juk1	vine 	艸/艹	3	cǎo	grass		4443.0	THBK	艹/宀/丿/木/丷/大	
薂	16画	艸艹 + 13	xí			艸/艹	3	cǎo	grass		4424.8	THSK	艹/白方/攵	
薃	16画	艸艹 + 13	hào, hǎo	hou6		艸/艹	3	cǎo	grass		4412.7	TEYB	艹/氵/亠口/冂/囗	
